Scopus SourceID,Quartile,Top 10% (CiteScore Percentile)
28773,Quartile 1,Top 10%
28773,Quartile 1,Top 10%
19434,Quartile 1,Top 10%
19434,Quartile 1,Top 10%
19434,Quartile 1,Top 10%
19434,Quartile 1,Top 10%
23340,Quartile 1,Top 10%
23350,Quartile 1,Top 10%
58530,Quartile 1,Top 10%
29719,Quartile 1,Top 10%
17814,Quartile 1,Top 10%
17814,Quartile 1,Top 10%
17814,Quartile 1,Top 10%
17899,Quartile 1,Top 10%
17500155114,Quartile 1,Top 10%
17500155114,Quartile 1,Top 10%
17500155114,Quartile 1,Top 10%
17500155114,Quartile 1,Top 10%
20651,Quartile 1,Top 10%
20651,Quartile 1,Top 10%
24004,Quartile 1,Top 10%
24004,Quartile 1,Top 10%
24004,Quartile 1,Top 10%
26978,Quartile 1,Top 10%
26651,Quartile 1,Top 10%
26651,Quartile 1,Top 10%
17900156715,Quartile 1,Top 10%
21100812243,Quartile 1,Top 10%
21100812243,Quartile 1,Top 10%
21100812243,Quartile 1,Top 10%
21100812243,Quartile 1,Top 10%
21100812243,Quartile 1,Top 10%
17854,Quartile 1,Top 10%
17854,Quartile 1,Top 10%
17854,Quartile 1,Top 10%
17854,Quartile 1,Top 10%
17854,Quartile 1,Top 10%
5200152704,Quartile 1,Top 10%
5200152704,Quartile 1,Top 10%
5200152704,Quartile 1,Top 10%
5200152704,Quartile 1,Top 10%
5200152704,Quartile 1,Top 10%
5200152704,Quartile 1,Top 10%
21100812579,Quartile 1,Top 10%
21100812579,Quartile 1,Top 10%
21100812579,Quartile 1,Top 10%
21100812579,Quartile 1,Top 10%
26465,Quartile 1,Top 10%
26465,Quartile 1,Top 10%
26465,Quartile 1,Top 10%
26465,Quartile 1,Top 10%
26465,Quartile 1,Top 10%
12010,Quartile 1,Top 10%
27538,Quartile 1,Top 10%
27538,Quartile 1,Top 10%
27538,Quartile 1,Top 10%
21100228100,Quartile 1,Top 10%
19651,Quartile 1,Top 10%
19651,Quartile 1,Top 10%
19651,Quartile 1,Top 10%
19651,Quartile 1,Top 10%
19651,Quartile 1,Top 10%
16801,Quartile 1,Top 10%
11300153736,Quartile 1,Top 10%
18434,Quartile 1,Top 10%
16721,Quartile 1,Top 10%
16721,Quartile 1,Top 10%
16721,Quartile 1,Top 10%
16721,Quartile 1,Top 10%
5700165152,Quartile 1,Top 10%
5700165152,Quartile 1,Top 10%
