,Country,Year,Num of Systems,RMax,RPeak,Total Cores,GDPpC,HDI,Q1,Q2,Q3,Q4,Top10,Cluster
640,Country: Italy,Year: 2018,6,31110.65,49243.746,814864,31952.9759206841,0.88,54194,34154,17172,8673,29377,cluster_2
641,Country: Netherlands,Year: 2018,6,9334.06,11925.504,326880,48223.1554941825,0.931,36098,15588,6809,2956,21705,cluster_2
642,Country: Australia,Year: 2018,5,6669.187999999999,10232.963200000002,257336,53799.93808995991,0.939,56180,28851,13589,4311,33074,cluster_2
643,Country: Poland,Year: 2018,4,4604.365,6216.16,153128,13811.664243680802,0.865,16060,13370,9388,6400,8046,cluster_2
644,Country: India,Year: 2018,4,8358.996,9472.166,272328,1939.61298448814,0.64,41075,40718,37365,29987,18454,cluster_2
645,Country: Sweden,Year: 2018,4,4653.054,6565.116,139408,53442.0082808022,0.933,24128,11088,4295,1943,14569,cluster_2
646,Country: Singapore,Year: 2018,3,4308.219999999998,5525.298999999999,146112,57714.2966313778,0.932,11755,4798,2169,765,7841,cluster_2
647,Country: Saudi Arabia,Year: 2018,3,10109.13,13858.214000000002,325940,20760.9060117662,0.853,9228,7065,4444,1910,4985,cluster_2
648,Country: Russian Federation,Year: 2018,3,4580.25,7940.005,178180,10743.0965915463,0.816,14159,12631,21056,21858,6889,cluster_2
649,Country: South Africa,Year: 2018,2,2152.4700000000007,2779.93,71256,6160.73456881527,0.6990000000000001,9439,7112,4445,2176,4841,cluster_2
650,Country: Taiwan,Year: 2018,2,10325.15,17297.19,197552,,,16900,10051,5180,2389,9731,cluster_2
651,Country: Switzerland,Year: 2018,2,23126.75,29347.305,453140,80189.6968607849,0.944,26332,10957,5297,2749,16759,cluster_2
652,Country: Spain,Year: 2018,2,7488.8,11781.642,172656,28156.8158362352,0.8909999999999999,45793,24111,14946,10010,27027,cluster_2
653,Country: Czech Republic,Year: 2018,1,1457.73,2011.641,76896,20368.1385576071,0.888,8481,5981,4156,3003,4696,cluster_2
654,Country: Finland,Year: 2018,1,1250.0,1689.2928,40608,45703.327865074,0.92,10940,5458,2418,930,6578,cluster_2
655,Country: Brazil,Year: 2018,1,1123.15,1413.12,38400,9821.407686410079,0.759,28888,23306,17118,8110,14759,cluster_2
656,Country: Norway,Year: 2018,1,953.571,1081.651,32192,75504.5662551423,0.953,12291,6086,2825,1513,7296,cluster_2
657,Country: New Zealand,Year: 2018,1,908.892,1425.408,18560,42940.5782879727,0.917,8179,4788,2276,912,4590,cluster_2
